,base frame,end effector frame,,,,,,
0,arm_base_link,arm_7_link,,,,,,
,px,py,pz,qx,qy,qz,qw,time
0,0.379040549,-0.2055399843,-0.2467562815,0.1221323189,0.6182622827,0.0225147196,0.7761820237,0.3889977932
1,0.3708144967,-0.1368642588,-0.1967458895,0.1488287828,0.4547709091,0.1458167798,0.8659681751,1.0073509216
2,0.3492001137,-0.0581507554,-0.146385309,0.1085180353,0.3107284643,0.2260011021,0.9169106605,1.5686337948
3,0.3146235653,0.0025147225,-0.1007191239,0.0318322223,0.1796300826,0.211142929,0.9603480653,2.1879439354
4,0.28317504,0.0285792203,-0.0701010787,-0.0224574576,0.0879776902,0.134802576,0.9867694027,2.7435889244
5,0.2572449581,0.0393485771,-0.0494321035,-0.0547068388,0.0328049272,0.0427296011,0.9971134237,3.3045299053
6,0.2373451577,0.0392100191,-0.0324233601,-0.0534505788,0.0112218267,-0.0085696488,0.9985357617,3.9160909653
7,0.2184730939,0.0345558269,-0.0149768229,-0.0294268111,-0.0005663005,-0.0049601775,0.999619497,4.4743199348
8,0.2015727686,0.0336357102,-0.0016702427,-0.0176609829,-0.0054808214,-0.0090932567,0.9998526706,5.0883069038
9,0.1870167107,0.0333058226,0.0088715137,-0.0086814579,-0.0078656969,-0.0075637045,0.9999677762,5.6486608982
10,0.1721366661,0.0338634877,0.0184299069,-0.0031146243,-0.0086562358,-0.0073634986,0.9999955738,6.2583749294
11,0.1602383646,0.0343135611,0.0253386665,0.0001959986,-0.0087461562,-0.0064067503,1.0000062099,6.8276879787
12,0.148613211,0.0347244813,0.0313804556,0.0022636602,-0.0084523155,-0.0057516784,1.0000101762,7.4417660236
13,0.1386787201,0.0348574856,0.0359940987,0.0034865515,-0.0080548074,-0.0050967761,1.0000134934,8.0109949112
14,0.1301814798,0.0347719182,0.0395060411,0.0041584795,-0.0076342046,-0.0046221249,1.0000165308,8.51156497
15,0.1223549902,0.0344609705,0.042359284,0.0045557075,-0.007213785,-0.0041854444,1.0000198443,9.0124390125
16,0.1156633421,0.0340023159,0.044488836,0.004744017,-0.0068365992,-0.0038530955,1.0000229542,9.5130569935
17,0.108938695,0.033335868,0.0463223094,0.0048274838,-0.00645232,-0.0035355335,1.0000262811,10.0137248039
18,0.1031755888,0.0325897342,0.0476304246,0.004821167,-0.0061212121,-0.0032852137,1.0000292468,10.5147609711
19,0.0973704469,0.0316635849,0.0486849708,0.0047519206,-0.0057891393,-0.0030500948,1.0000323005,11.0149488449
20,0.0921816151,0.0306800578,0.0493882532,0.004640625,-0.005494936,-0.0028551705,1.0000350585,11.5162799358
21,0.0873387869,0.0296265525,0.0498292906,0.004497904,-0.0052233398,-0.0026860582,1.0000376346,12.0174248219
22,0.082814689,0.0285194897,0.0500411439,0.0043318127,-0.0049727458,-0.0025392635,1.0000400289,12.518132925
23,0.0785813149,0.0273741451,0.0500548769,0.0041487876,-0.0047412316,-0.0024115867,1.0000422454,13.0184898376
24,0.0749236551,0.0262975475,0.0499154582,0.0039695101,-0.0045435559,-0.0023089898,1.0000441329,13.5196998119
25,0.0710367749,0.0250659525,0.0496081285,0.0037583626,-0.0043358556,-0.0022073889,1.0000461002,14.0199270248
26,0.0676572884,0.0239249313,0.0492053719,0.0035583016,-0.0041571555,-0.0021246658,1.00004777,14.5217928886
27,0.064212483,0.0226919291,0.0486572286,0.0033384104,-0.0039765639,-0.002046638,1.0000494254,15.0216209888
28,0.0612125021,0.0215634545,0.048065435,0.0031348873,-0.0038205525,-0.0019826204,1.0000508213,15.5221807957
29,0.0581383709,0.0203577256,0.0473475993,0.0029149861,-0.0036616217,-0.0019210203,1.0000522012,16.0233318806
30,0.0554548051,0.0192646737,0.0466258363,0.0027143074,-0.003523511,-0.001870241,1.0000533584,16.5233678818
31,0.0526998651,0.0181063736,0.0457923955,0.0025004535,-0.0033821461,-0.0018206601,1.0000544955,17.0239849091
32,0.0502863222,0.0170639884,0.0449850669,0.0023070606,-0.0032584803,-0.00177922,1.0000554455,17.524725914
33,0.0478017164,0.0159664024,0.0440785433,0.00210282,-0.0031312307,-0.0017380123,1.0000563748,18.0251297951
