,base frame,end effector frame,,,,,,
0,arm_base_link,arm_7_link,,,,,,
,x,y,z,qw,qx,qy,qz,time
0,-0.3251906622,0.2063986965,0.6851580874,0.7734718652,-0.1226555846,-0.6213725801,-0.0243515512,0.5080721378
1,-0.3251245288,0.2064123155,0.6851329233,0.7734741472,-0.1226517758,-0.6213707699,-0.0243444413,1.0230200291
2,-0.3251227795,0.2064232306,0.6851137813,0.7734528643,-0.1226644281,-0.621395409,-0.0243279767,1.5391201973
3,-0.3200748537,0.2015214486,0.6990019161,0.799893,-0.1151255055,-0.5869638247,-0.0488955532,2.0478200913
4,-0.3147924321,0.1956830234,0.7132905885,0.8254079043,-0.1066991606,-0.5493489391,-0.0743829532,2.5628550053
5,-0.3115998611,0.1842318817,0.7278631762,0.8499259545,-0.1007832916,-0.5108872959,-0.0803913607,3.1266560555
6,-0.3093573791,0.1697206186,0.7421466537,0.872271503,-0.0969025359,-0.4739031595,-0.0718896309,3.6434221268
7,-0.3069762477,0.1549851281,0.7556836277,0.8917609246,-0.0928386339,-0.4387991928,-0.0599892478,4.1580240727
8,-0.3042078496,0.1409283322,0.7684052163,0.9085409017,-0.0873782689,-0.405478652,-0.0500552778,4.6694941521
9,-0.3006292337,0.1251985942,0.7823244455,0.9252445463,-0.0792819942,-0.3686784462,-0.0413895915,5.185819149
10,-0.297378907,0.1121577587,0.7935224931,0.9373433229,-0.0711674531,-0.3391300604,-0.0362421126,5.6998591423
11,-0.2935356803,0.0978313446,0.8056661543,0.9492361598,-0.0613977458,-0.3068943759,-0.0315732778,6.2175011635
12,-0.2902900623,0.0870298928,0.8152185103,0.9577384023,-0.0537563533,-0.2811757064,-0.0280647364,6.7186291218
13,-0.287093229,0.0776820276,0.824093495,0.9648883489,-0.0470522051,-0.2572131904,-0.0248583776,7.2188651562
14,-0.283362918,0.0680942272,0.8338258413,0.9718988469,-0.0400879897,-0.230975109,-0.0213561116,7.7197110653
15,-0.2801420749,0.0609534291,0.8417260664,0.9769135862,-0.0348517789,-0.2099473283,-0.01863647,8.219974041
16,-0.2763266774,0.05375022,0.850526175,0.981781589,-0.0295337804,-0.187034488,-0.0158356449,8.7216050625
17,-0.2729835147,0.048386529,0.8577793309,0.9852493485,-0.0255547322,-0.1686476115,-0.0137353593,9.2285120487
18,-0.2689759514,0.0429326445,0.8659611314,0.9886041396,-0.0215015929,-0.1485425033,-0.0116043672,9.7297041416
19,-0.2654346462,0.0388245746,0.872769733,0.9909821075,-0.0184503117,-0.1323396895,-0.0100127563,10.2306780815
20,-0.2611689101,0.0346330032,0.8805004249,0.9932567921,-0.0153506197,-0.114605623,-0.0084175142,10.731180191
21,-0.2573908174,0.0314957182,0.8869611114,0.9948398411,-0.0130482506,-0.10035322,-0.0072570609,11.2325861454
22,-0.2536933558,0.0287389927,0.8929649534,0.9960757916,-0.0110592264,-0.087587328,-0.0062586615,11.7326021194
23,-0.2494877282,0.0258353764,0.8994470307,0.9971866632,-0.0090027464,-0.074232817,-0.0052151901,12.2338540554
24,-0.246010551,0.0236226916,0.9045527993,0.9979019114,-0.0074744787,-0.0641578596,-0.0044358113,12.7351841927
25,-0.242107291,0.0213356386,0.910034445,0.9985235346,-0.0059413465,-0.0538711189,-0.0036542721,13.2362060547
26,-0.2388752764,0.0195844561,0.9143885721,0.9989201506,-0.0048041403,-0.0461083981,-0.0030770948,13.7364890575
27,-0.2352367619,0.0177639099,0.9191044486,0.9992613326,-0.003664209,-0.0381719462,-0.0025030491,14.237650156
28,-0.2322255906,0.0163742242,0.9228678273,0.9994744175,-0.0028291717,-0.032226128,-0.0020883485,14.7376670837
29,-0.2293153502,0.0151324856,0.9263921329,0.9996311998,-0.0021156035,-0.0270178011,-0.0017398415,15.2388551235
