,base frame,end effector frame,,,,,,
0,base_link,gripper,,,,,,
,x,y,z,qw,qx,qy,qz,time
0,-0.0645200955,-0.0102005591,0.9603897092,-0.0132989148,-0.0476871348,-0.0020106818,0.9987717623,0.5080721378
1,-0.062331878,-0.010804942,0.9613274716,-0.0126104703,-0.0439536887,-0.0017893424,0.998952375,1.0230200291
2,-0.07855764,0.0084387261,0.9571299224,-0.0326945754,-0.0734543948,0.0160855545,0.9966327165,1.5391201973
3,-0.0940642789,0.0282661374,0.9523255741,-0.0562183076,-0.101544434,0.0352884146,0.9926142038,2.0478200913
4,-0.1099179044,0.0460615826,0.9452277878,-0.0775575076,-0.1309295889,0.0536138843,0.9868980835,2.5628550053
5,-0.125913344,0.0623640029,0.9364112618,-0.097731183,-0.1615419719,0.0702306382,0.9795001096,3.1266560555
6,-0.1416812838,0.0781706902,0.9266110649,-0.1185438854,-0.1924101342,0.0855934907,0.9703604701,3.6434221268
7,-0.1593136134,0.0957011593,0.9143290055,-0.1430680695,-0.2277505583,0.1019972292,0.9577357548,4.1580240727
8,-0.1742339659,0.1104354072,0.9027231136,-0.1645872633,-0.2587115444,0.1149421253,0.9448638407,4.6694941521
9,-0.1885427299,0.1245318262,0.8904089941,-0.1845944728,-0.2887004279,0.1237949662,0.9312635233,5.185819149
10,-0.2042514227,0.1399314397,0.8754796612,-0.2049473219,-0.3217002039,0.1281077932,0.9154747224,5.6998591423
11,-0.2173109976,0.1527752575,0.8617549239,-0.2199425747,-0.3496033045,0.126549268,0.9018803003,6.2175011635
12,-0.2294339519,0.1636105442,0.847991761,-0.2307968566,-0.3767327261,0.1198870351,0.8890626316,6.7186291218
13,-0.2406120724,0.1723595333,0.834399507,-0.2376418179,-0.4032656862,0.1093121361,0.8769002279,7.2188651562
14,-0.2521619409,0.1800994002,0.8192357143,-0.2409073808,-0.4326739785,0.0937230934,0.8636971946,7.7197110653
15,-0.2610383989,0.1849590048,0.8065239566,-0.2397879436,-0.4571947903,0.0776738365,0.8529017768,8.219974041
16,-0.2685913113,0.1887323594,0.7949730399,-0.2361928895,-0.4794061209,0.0601930899,0.8430655266,8.7216050625
17,-0.2750096479,0.1918465182,0.7845820174,-0.2310456948,-0.4992569335,0.0423217042,0.8340079584,9.2285120487
18,-0.2811832465,0.1947602051,0.774001644,-0.223809651,-0.5192656573,0.0223316258,0.8244839087,9.7297041416
19,-0.2856048364,0.1967349851,0.7660064615,-0.2165960909,-0.5342243468,0.0058493869,0.8171023592,10.2306780815
20,-0.2892087035,0.1981759048,0.7591991179,-0.2089148747,-0.5467944966,-0.0089986515,0.8107338514,10.731180191
21,-0.2926627424,0.1993247635,0.7524327101,-0.1999547182,-0.559017165,-0.0236686694,0.8043368163,11.2325861454
22,-0.2951977421,0.199889058,0.7473406168,-0.1922755544,-0.5679300801,-0.0338302374,0.7995880504,11.7326021194
23,-0.297363859,0.2000454428,0.7429492978,-0.1850454652,-0.5753027554,-0.0409120306,0.7956828019,12.2338540554
24,-0.2992953238,0.1999115827,0.7390254259,-0.1783429565,-0.5815862819,-0.0453216627,0.7923996047,12.7351841927
25,-0.3010442743,0.1995695536,0.7354741201,-0.172246683,-0.5869833013,-0.0473784145,0.7896435715,13.2362060547
26,-0.302858204,0.1990279153,0.7317843173,-0.1660173318,-0.5922790791,-0.0475005617,0.7870117119,13.7364890575
27,-0.3042837032,0.1985066459,0.7288643754,-0.1612424485,-0.5962213191,-0.0461579308,0.7851053795,14.237650156
28,-0.3055497004,0.1980319244,0.7262271728,-0.1570715399,-0.5995836324,-0.044121604,0.7835057646,14.7376670837
29,-0.306674355,0.1976561472,0.723821844,-0.153361054,-0.6025054928,-0.0420049969,0.7821145048,15.2388551235
30,-0.3076683412,0.1974023086,0.7216232658,-0.150024343,-0.6050636635,-0.0401317713,0.7808841787,0.5080721378
31,-0.3086673768,0.1972505532,0.7193269065,-0.1465838754,-0.6076239014,-0.0383721761,0.7796370553,1.0230200291
32,-0.3094231509,0.1972383919,0.7175112854,-0.1439063858,-0.6095512704,-0.0371669685,0.7786891661,1.5391201973
33,-0.3100790813,0.1973197994,0.7158666684,-0.1415291439,-0.6112079382,-0.0361811124,0.7778722805,2.0478200913
34,-0.3106604494,0.197462121,0.7143544965,-0.1393950159,-0.6126547688,-0.0352911778,0.77716002,2.5628550053
35,-0.3112527199,0.1976747734,0.7127590847,-0.1372066888,-0.6140995432,-0.0343118756,0.7764526842,3.1266560555
36,-0.3117087678,0.1979011783,0.7114814151,-0.135517926,-0.6151831865,-0.0334735076,0.7759278723,3.6434221268
37,-0.3121090955,0.1981629568,0.7103117095,-0.1340331613,-0.6161085019,-0.0326664088,0.7754858679,4.1580240727
38,-0.3124661301,0.1984524431,0.7092258668,-0.132705583,-0.6169149326,-0.0319059098,0.7751046427,4.6694941521
39,-0.312784555,0.1987660858,0.7082153826,-0.1315159309,-0.6176190689,-0.0312062133,0.7747750757,5.185819149
40,-0.3131092609,0.1991474537,0.7071377363,-0.1302954834,-0.6183224596,-0.0304783919,0.774449153,5.6998591423
41,-0.313360465,0.1994985921,0.7062609982,-0.1293458343,-0.6188541818,-0.0299041768,0.7742059785,6.2175011635
42,-0.3136125142,0.199915277,0.7053313237,-0.1283882851,-0.6193736927,-0.0293124457,0.7739725174,6.7186291218
43,-0.3138070134,0.2002888587,0.7045728433,-0.1276475825,-0.6197633888,-0.0288401949,0.773800801,7.2188651562
44,-0.3139782039,0.2006673896,0.7038651739,-0.1269948267,-0.6200958698,-0.0284074342,0.7736578339,7.7197110653
45,-0.3141522103,0.2011021902,0.7031043709,-0.1263309842,-0.6204238147,-0.0279503398,0.7735202331,8.219974041
46,-0.314286083,0.2014823058,0.7024805777,-0.1258198532,-0.6206676875,-0.0275848838,0.7734210111,8.7216050625
47,-0.3142967752,0.2015179013,0.7024531191,-0.125849341,-0.6206824182,-0.0275677377,0.7734050032,9.2285120487
48,-0.3143058695,0.2015497701,0.7024367557,-0.1258962447,-0.6206934745,-0.0275569398,0.773388881,9.7297041416
49,-0.3143138267,0.2015776493,0.7024224325,-0.1259372757,-0.6207031523,-0.0275474879,0.7733747702,10.2306780815
